Service Name,Service URL,Service Key Features,Service Categories,Service Description
CoreSpace,corespace.com/,,Colocation,
Digiweb Hosting,hosting.digiweb.ie,,Colocation,
Capital Internet,www.capitalinternet.com,,Colocation,
Collocation America,www.collocationamerica...,,Colocation,
Frontline Data Services,www.frontlineds.com,,Colocation,
NationalNet,www.nationalnet.com,,Colocation,
1102 Grand,www.1102grand.com,,Colocation,
7L Networks,www.7l.com,,Colocation,
Align,www.align.com,,Colocation,
Ascent Data,www.ascentdata.com,,Colocation,
Atlanta Colocation,www.atlantacolocation.com,,Colocation,
Benesol,www.benesol.com,,Colocation,
"Black Oak Computers, Inc.",www.strongvpn.com,,Colocation,
C7,www.c7.com,,Colocation,
Catnaz,www.catnazwebhosting.com,,Colocation,
Circle Computer Resources,www.ccr.net,,Colocation,
CNS,www.cnscolo.com,,Colocation,
Colo Solutions,www.colosolutions.com,,Colocation,
coloAZ,www.coloaz.com,,Colocation,
Cologix,www.cologix.com/en,,Colocation,
ColoServe,ColoServe.com,,Colocation,
ColoStore,www.colostore.com,,Colocation,
CoreSite,www.coresite.com,,Colocation,
DartPoints,www.dartpoints.com,,Colocation,
Data102,www.data102.com/,,Colocation,
DataSite,www.datasitecolo.com,,Colocation,
Digital Realty,www.digitalrealty.com,,Colocation,
Drift2 Hosting,drift2.com,,Colocation,
Earthnet,www.earthnet.net,,Colocation,
EasyStreet,www.easystreet.com,,Colocation,
eMazzanti Technologies,www.emazzanti.net,,Colocation,
Globaltap Hosting,www.globaltap.com,,Colocation,
GoRACK,www.gorack.net,,Colocation,
Hive Hosting,www.hivehosting.net,,Colocation,
Host Head,www.hosthead.com,,Colocation,
Host.net,www.host.net,,Colocation,
hostingPREMIUM,www.hostingpremium.com/,,Colocation,
Hurricane Electric,www.he.net/,,Colocation,
Icelab Networks,icelab.net/,,Colocation,
ICG Link,www.icglink.net,,Colocation,
"iLogic Solutions, LLC",www.ilogichosting.com,,Colocation,
Innovative Strategic Technologies,www.istcorp.net,,Colocation,
InstaVPS,instavps.com,,Colocation,
Integraserve,www.integraserve.net,,Colocation,
Integrity Host,www.integrityhost.com,,Colocation,
Involta,www.involta.com/,,Colocation,
iRapture,iRapture.com,,Colocation,
LightHouse Hosting LLC,www.lighthousehosting.com,,Colocation,
Lightower,www.lightower.com,,Colocation,
Monkeybrains,www.monkeybrains.net,,Colocation,
MonsterHost,www.monsterhost.net,,Colocation,
Obfuscate,www.obfuscate.com,,Colocation,
Omnis Data Centers,www.omnisdatacenters.com,,Colocation,
OnTime Host,OnTimeHost.Com,,Colocation,
Oriensoft,www.oriensoft.com,,Colocation,
ProviNET,www.provinet.com,,Colocation,
Psyphire,www.psyphire.com,,Colocation,
Qwk ,www.qwk.net,,Colocation,
RagingWire,www.ragingwire.com,,Colocation,
Sentinel Technologies,www.sentinel.com,,Colocation,
ServerFreak,www.serverfreak.com,,Colocation,
Serverroom,www.Serverroom.us,,Colocation,
SiteYourself,www.siteyourself.com,,Colocation,
StratITsphere,www.stratitsphere.com ,,Colocation,
Telx,www.telx.com,,Colocation,
TowerCo,www.towerco.com,,Colocation,
Tranquil Hosting,www.tqhosting.com,,Colocation,
wholesalecolo,www.wholesalecolo.com/,,Colocation,
Giglinx Global,www.giglinxusa.com,,Colocation,
ColoInSeattle,coloinseattle.com,,Colocation,
HRSoft,Write a review,"Salary, stock & variable pay calculation
Global compensation calculations
Bottoms Up & rules based budgeting
Active Advice & Decision Support
Dynamic comp planning screens
broad-based or executive planning
Automated workflows
Cascading Budgets
Automated Planning Workflows
Award Decisions",Compensation Management,"HRsoft is a leading provider of compensation planning software for global and growing companies.  COMPview is a best-of-breed compensation planning software system that automates, streamlines and simplifies complex compensation planning by giving managers an intuitive, decision support tool to help optimize budget allocations, increase accuracy and align compensation decisions with organizational guidelines. COMPview gives compensation managers unique insight into what line managers are doing while simplifying and automating many of the extremely complex planning processes. For line managers, COMPview provides a secure, strategic, easy-to-use decision support tool that makes their comp planning tasks faster, easier and more accurate.  From cyclical planning for a global organization to budget allocations at the line manager level  COMPview gives planners the tool they need to truly automate and simplify the entire compensation planning process. Contact us today for a free demo!"
Harvest HCM,www.harvesthcm.com,,Compensation Management,
ActionHRM,www.actionhrm.com,,Compensation Management,
HCR Software,www.compensationxl.com,,Compensation Management,
CWS Software,www.cws-software.com,,Compensation Management,
DataCare,www.datacare.com,,Compensation Management,
Decusoft,www.decusoft.com,"Compensation Management
Taft Hartley Benefit Fund Software
Application Development",Compensation Management,"Simple. Configurable. Adaptable. Decusoft is a leading developer of specialized software solutions that equips you to empower your people, support your business processes, analyze and predict, quickly adapt to change and leverage your unique competitive advantage. Our software is backed by a tenured team with a proven track record of implementing highly configurable solutions that easily adapt to changing business requirements. We commit to making the complex simple and delivering VIP-level service. Contact Decusoft today and schedule time  to experience for yourself the power of our specialized software solutions."
Exaxe,www.exaxe.com,,Compensation Management,
Iconixx,www.iconixx.com,,Compensation Management,
PayScale,www.payscale.com,,Compensation Management,
QCommission,www.qcommission.com,"Sales rep/mgr can view commission online
Calculate Commissions & Bonuses
Calculate flat, tiered & threshold based
Pay comm on Sales, Gross Profit & Units
Pay Weekly, Bi-weekly, Monthly
Based on spec Product, Customer, Payee 
http://www.qcommission.com/product-info/
Connects to SugarCRM and Salesforce",Compensation Management,"QCommission.com is a sales commission management solution that integrates with popular CRM and Accounting software such as Salesforce, SugarCRM, QuickBooks, Sage and Microsoft Dynamics.   Providing sales commission solutions for over 15 years, QCommission has managed sales comp plans as small  as 1 sales rep/payee up to 8,000. QCommission is part of the CellarStone.com suite of product offerings that also include www.Easy-Commission.com, www.QXchange.com, www,webKPI.com, www.MaxBlox.com, www.MaxAgreement.com and CommTrack.biz  "
SmartPay,www.smartpayllc.com,,Compensation Management,
SpiraLinks,www.spiralinks.com,,Compensation Management,
Triton HR,www.tritonhr.com,,Compensation Management,
Xactly,www.xactlycorp.com,,Compensation Management,
AdClarity,www.adclarity.com,,Competitive Intelligence,"REVEAL THE CMOs BEST KEPT SECRET AdClarity, the leading cross-channel Ad Intelligence solution in the digital media industry, helps you uncover your competitors digital advertising strategies and gain the insights you need to make the best decisions possible for your business. EMPOWER YOURSELF WITH DATA-DRIVEN INSIGHTS TO MAKE THE BEST STRATEGIC DECISIONS FOR YOUR BUSINESS. Advertisers- Make strategic advertising decisions based on competitive ad insights- Implement better programmatic strategies to deliver advertising campaign goals- Identify and be inspired by highest converting ad creatives, messaging, and campaigns- Measure and optimize brand equity and prominence Agencies- Win new clients with data-driven pitches that lead to strategic advertising decisions- Retain existing clients and grow programmatic media budgets- Monitor and ensure ad creatives and campaigns are compliant with clients rules and regulations- Measure and optimize brand equity and prominence Media Sellers- Make strategic advertising decisions based on competitive ad insights- Find new business opportunities and delve into untapped markets- Uncover your current clients alternative opportunities and offer them better packages to increase their spend and SOV on your sites HELPING YOU BUILD THE PERFECT DIGITAL ADVERTISING STRATEGY CROSS-CHANNEL AD SOLUTIONS Leverage real-time display, mobile, and video ad intelligence to create cohesive cross-channel digital campaigns across all digital channels and devices to exceed customer expectations and increase pro?ts. PROGRAMMATIC AD INTELLIGENCE Addressing enterprise needs for programmatic data scalability through the monitoring and tracking of over 22 million online publisher pages, 14.5 million digital campaigns, and 35,000 ad platforms. DATA DRIVEN INSIGHTS Gain the actionable insights you need to overcome digital planning blindness. Find out how to optimize your digital advertising strategies to obtain the best results and increase your ROI."
Pentagon,www.getpentagon.com.au,,Competitive Intelligence,
Pricing Engine,www.pricingengine.com,,Competitive Intelligence,
Trellian,www.trellian.com,,Competitive Intelligence,
AttaainCI,www.attaain.com,,Competitive Intelligence,
CI Radar,www.ciradar.com,,Competitive Intelligence,
Ciradar,www.ciradar.com,,Competitive Intelligence,
Digimind,www.digimind.com,,Competitive Intelligence,
HeatSync,www.heatsync.com,,Competitive Intelligence,
Intelligence Plaza,www.intelligenceplaza.c..,,Competitive Intelligence,
intelligence2day,www.intelligence2day.com,,Competitive Intelligence,
iSpionage,www.ispionage.com,,Competitive Intelligence,
KeywordSpy,www.keywordspy.com,,Competitive Intelligence,
Kompyte,www.kompyte.com/,,Competitive Intelligence,
LexisNexis,www.lexisnexis.com,,Competitive Intelligence,
Lixto,www.lixto.com,,Competitive Intelligence,
MixRank,mixrank.com,,Competitive Intelligence,
newBrandAnalytics,www.newbrandanalytics.com,,Competitive Intelligence,
PriceGrid,www.pricegrid.com,,Competitive Intelligence,
QL2 Software,www.ql2.com,,Competitive Intelligence,
Research Reporter,www.researchreporter.com,,Competitive Intelligence,
Rival IQ,www.rivaliq.com,,Competitive Intelligence,
Rivalfox,www.rivalfox.com,,Competitive Intelligence,
RivalMap,www.rivalmap.com,,Competitive Intelligence,
SEMrush,www.semrush.com,,Competitive Intelligence,
Socialbakers,www.socialbakers.com,,Competitive Intelligence,
SocialRank,www.socialrank.co,,Competitive Intelligence,
STELLAService,www.stellaservice.com,,Competitive Intelligence,
Strenuus,www.strenuus.com,,Competitive Intelligence,
Unmetric,www.unmetric.com,,Competitive Intelligence,
Upstream Commerce,www.upstreamcommerce.com,,Competitive Intelligence,
Visual IQ,www.visualiq.com,,Competitive Intelligence,
Prisync,www.prisync.com,"E-mail alerts
Excel exporting
API
Brand/Category Reports
Unlimited Competitors",Competitive Intelligence,"Prisync is a competitor price tracking software for all sizes of e-commerce companies from all around the world.It helps companies to better set their online prices by automatically monitoring competitor prices and helps companies achieve higher sales and profit margins."
Lynk Software,www.lynksoftware.com,,Complaint Management,
ConSol*,www.consol.com,,Complaint Management,
i-Sight,www.customerexpressions..,,Complaint Management,
ListeningPost,www.listeningpost.com.au/,,Complaint Management,
Peacock Consulting,www.peacock-consulting...,,Complaint Management,
Premitek,www.premitek.com,,Complaint Management,
Scambook,www.scambook.com,,Complaint Management,
(mt) Media Temple,www.mediatemple.net,,Complex Hosting,
Cybercon,www.cybercon.com,,Complex Hosting,
DedicatedNow,www.dedicatednow.com,,Complex Hosting,
HostingShield,www.hostingshield.com,,Complex Hosting,
Tilted Planet,tilted.com,,Complex Hosting,
MyComplianceOffice,www.MyComplianceOffice...,,Compliance Software,
Compliancy Group,www.compliancy-group.com,,Compliance Software,
Cymtec,www.cymtec.com,,Compliance Software,
Patrina Corporation,www.patrina.com,,Compliance Software,
Thomson Reuters,www.accelus.thomsonreut..,,Compliance Software,
Zequel Technologies,www.zequel.com,,Compliance Software,
Accountable,www.accountablehq.com,,Compliance Software,
Accreditime,www.accreditime.com,,Compliance Software,
Accupoint Software,www.accupointsoftware.com,,Compliance Software,
ACL Services,www.acl.com,,Compliance Software,
Alacra,www.alacra.com,,Compliance Software,
Alinion Sentinel,www.alinion.com,,Compliance Software,
ANX,www.anx.com,,Compliance Software,
Aptible,www.aptible.com,,Compliance Software,
Aquicore,www.aquicore.com,,Compliance Software,
AssurX,www.assurx.com,,Compliance Software,
AvePoint,www.avepoint.com,,Compliance Software,
B2Gnow,www.b2gnow.com,,Compliance Software,
BioRAFT,www.bioraft.com,,Compliance Software,
Cegedim Dendrite,www.cegedimdendrite.com,,Compliance Software,
CMO Compliance,www.cmo-compliance.com,,Compliance Software,
Compli,www.compli.com,,Compliance Software,
Compliance 360,www.compliance360.com,,Compliance Software,
ComplianceBridge,www.compliancebridge.com,,Compliance Software,
ComplianceEase,www.complianceease.com,,Compliance Software,
Compliancy Software,www.compliancysoftware...,,Compliance Software,
ComplyAssistant,www.complyassistant.com,,Compliance Software,
ControlCase,www.controlcase.com,,Compliance Software,
Convercent,www.convercent.com,,Compliance Software,
CSP Plus,www.cspplus.com,"Inspections
pre-trip inspections
Vehicle Management
Employee Management
Item Management
Properties Management
TOMTOM Telematics
Risk/Loss Control
CSP Plus Portal
PPE Inspections",Compliance Software,"CSP Plus is a Web-Hosted Asset and Safety Control Software Application with the unique ability to customize and your own inspections online. Download our App and complete your Inspection from your Smartphone, Tablet or Laptop. CSP Plus can manage unlimited employees, equipment, vehicles and items while keeping loss control files. This will make you more efficient by having the ability to keep cost control organized, no need to hire multiple staff to do the same job. Lengthen the life of assets and keep your people safe with CSP Plus!"
Cura Software,www.curasoftware.com,,Compliance Software,
DataMotion,www.datamotion.com,,Compliance Software,
eCompliance,www.ecompliance.com,,Compliance Software,
Effective Software,www.effective-software...,,Compliance Software,
EXP Inc,www.exp-inc.com,,Compliance Software,
Fenergo,www.fenergo.com,,Compliance Software,
Garland Heart ,www.garlandheart.com,,Compliance Software,
Garland Heart,www.garlandheart.com,,Compliance Software,
Global Relay,www.globalrelay.com,,Compliance Software,
Helprace,www.helprace.com/,,Compliance Software,
HiSoftware,www.hisoftware.com,,Compliance Software,
IBS QMS  A Siemens PLM Business.,www.ibs-us.com,,Compliance Software,
Impendium Systems,www.impendiumsystems.com,,Compliance Software,
Integrum,www.integrum.com.au/,,Compliance Software,
JustWorks,www.justworks.com,,Compliance Software,
LicenseHQ,www.licensehq.com,,Compliance Software,
Lookout Services,www.lookoutservices.net,,Compliance Software,
Mango - Management on the Go!,www.mangolive.com,,Compliance Software,
MCN Healthcare,www.mcnhealthcare.com,,Compliance Software,
MessageSolution,www.messagesolution.com/,,Compliance Software,
MSDSonline,www.msdsonline.com,,Compliance Software,
NAVEX Global,www.navexglobal.com,,Compliance Software,
NEMEA Security Services,www.nemea.us,,Compliance Software,
Online Employment Systems,www.onlineemploymentsys..,,Compliance Software,
Panorama9,www.panorama9.com,,Compliance Software,
Precience,www.precience.com,,Compliance Software,
QUMAS,www.qumas.com,,Compliance Software,
regAction,www.regaction.com,,Compliance Software,
Resolution Financial Software Inc,www.DerivativePricing.com,,Compliance Software,
Revitas,www.revitasinc.com,,Compliance Software,
Risk Wizard,www.riskwizard.com,,Compliance Software,
RiskWatch,www.riskwatch.com,,Compliance Software,
Securimate,www.securimate.com/,,Compliance Software,
ShipCompliant,www.shipcompliant.com,,Compliance Software,
Silversheet,www.silversheet.com,,Compliance Software,
SiteCompli,www.sitecompli.com,,Compliance Software,
SoftTarget,www.softtarget.com,,Compliance Software,
Sookasa,www.sookasa.com,,Compliance Software,
Steton,www.steton.com,,Compliance Software,
Subserveo Inc.,www.subserveo.com,,Compliance Software,
Tripwire,www.tripwire.com,,Compliance Software,
V-Comply,www.v-comply.com,,Compliance Software,
Verdi Technology Associates,www.verditechnology.com,,Compliance Software,
ViClarity,www.viclarity.com,,Compliance Software,
Walz Group,www.walzgroup.com,,Compliance Software,
WhiteSource,www.whitesourcesoftware..,,Compliance Software,
Xybion Corporation,www.xybion.com,,Compliance Software,
Xyea,www.xyea.com,,Compliance Software,
Zapproved,www.zapproved.com,,Compliance Software,
Host 99,www.host-99.com,,Compliant Hosting,
AIS Network,www.aisn.net,,Compliant Hosting,
Connectria,www.connectria.com,,Compliant Hosting,
"Online Tech, Inc.",www.onlinetech.com,,Compliant Hosting,
ZipServers,www.zipservers.com,,Compliant Hosting,
Integrity Software,www.integrity-software...,,Construction Accounting Software,
Sapphire Systems,www.sapphiresystems.com/,,Construction Accounting Software,
Union Square Software,www.unionsquaresoftware..,,Construction Accounting Software,
Amtech,www.amtech.co.uk/,,Construction Estimating Software,
ConQuest,www.conquest.ltd.uk,,Construction Estimating Software,
Eque2,www.eque2.co.uk/,,Construction Estimating Software,
Buildertrend,www.buildertrend.com/,,Construction Management Software,
Digital Time Capture,www.digitaltimecapture...,,Construction Management Software,
EasyBop,easybop.co.uk/,,Construction Management Software,
GamePlan,www.gameplancloud.com,,Construction Management Software,
PlanGrid,www.plangrid.com,,Construction Management Software,
Quinyx,www.quinyx.com/,,Construction Management Software,
BuildTools,www.buildtools.com,,Construction Project Management,
Dexter + Chaney,www.dexterchaney.com,,Construction Project Management,
Finalcad,www.finalcad.com,,Construction Project Management,
Procore,www.procore.com,,Construction Project Management,
LeadIQ,Write a review,"Building List of Prospects
Find Email Addresses from Conferences
Enrich Inbound Email Addresses ","Contact Management
Lead Management
Sales Automation","LeadIQ provides sales prospecting automation to help you build list of prospects easily. We provide Chrome extension for capturing leads from social networks and building list is just one click away. LeadIQ also pulls company info & social activity from multiple sources, and save the info to Google Drive. LeadIQ syncs w/ Salesforce CRM and also offers Google Sheet extension for auto lead enrichment. You can claim your free account herehttps://leadiq.io/products"
Less Annoying CRM,Write a review,"Free 1-on-1 Training
Cloud, SaaS, Web
$10 per user/per month - no other fees
Mobile Accessible
30-day Free Trial - Full Version
Mobile Accessible
Email Marketing - MailChimp Integration","Contact Management
CRM Software
Lead Management","Less Annoying CRM is a simple CRM built from the ground up for small businesses. Manage your contacts, leads, notes, calendar, to-do's and more, all from one simple web app. Our product is founded on three core principles: simplicity, affordability, and outstanding customer service. With cloud-based deployment and simple configuration options, setup can be completed in minutes. All users get an unlimited free 30-day trial to exhaustively test every aspect of the CRM, and customer service is always free through the phone and email if users have questions. Additionally, Less Annoying CRM offers free 1-on-1 training for all users during the free trial and/or after starting to pay.  The CRM costs $10 per user/per month with no long-term contracts or other hidden fees.  Less Annoying CRM offers applications for contact management and sales force automation (SFA) allowing businesses to consolidate all of their customer information in a single place, accessible to the entire team. Modules include lead tracking, notetaking, calendars and task management. A range of configuration options allows users to customize sales processes and lead definitions to best align with their own business processes and industry needsno coding required. The CRM is accessible on any device that connects to the internet - phone, tablet or desktop - anywhere in the world. There is no artificial device limit of any kind.  Less Annoying CRM offers 256-bit encryption to ensure data security, and its servers are hosted on Amazon.coms infrastructure with multiple data backups kept off site, allowing data to be restored in the event of a major disaster."
iRepublics,www.irepublics.com/,,Contact Management,
Evercontact,www.evercontact.com,,Contact Management,
Contactually,www.contactually.com ,,Contact Management,
Atmail,www.atmail.com,,Contact Management,
BigContacts,www.bigcontacts.com,,Contact Management,
Ecquire,www.ecquire.com/,,Contact Management,
FullContact,www.fullcontact.com/,,Contact Management,
inContact,www.inContact.com,,Contact Management,
INES CRM,www.inescrm.com,,Contact Management,
Yoxel,www.yoxel.com,,Contact Management,
ADIGIDA Solutions,www.realfuturecrm.com,,Contact Management,
All n One Ltd,www.allnone.ie,,Contact Management,
AllClients,www.allclients.com,,Contact Management,
Brewster,www.brewster.com,,Contact Management,
Bupros,www.bupros.com/,,Contact Management,
BusinessITonline,www.businessitonline.co..,,Contact Management,
Chaos Software,www.chaossoftware.com/,,Contact Management,
CircleBack,www.circleback.com,,Contact Management,
CloudSponge,www.cloudsponge.com,,Contact Management,
ContactSatori,www.contactsatori.com,,Contact Management,
ContractAssistant (Blueridge Software),www.contractassistant.com,,Contact Management,
CoreMedia,www.coremedia.com,,Contact Management,
Covve,www.covve.com,,Contact Management,
EasyGrouper,www.easygrouper.com,,Contact Management,
Five Hundred Plus,www.fivehundredplus.com,,Contact Management,
GBS,www.gbsinc.com/,,Contact Management,
GoldMine,www.goldmine.com,,Contact Management,
GoodCloud,www.agoodcloud.com,,Contact Management,
IcalledU,www.icalledu.com,,Contact Management,
IXACT Contact Solutions,www.ixactcontact.com,,Contact Management,
LinkU,www.linkuapp.com,,Contact Management,
NetProspex,www.netprospex.com,,Contact Management,
NewVoiceMedia,www.newvoicemedia.com,,Contact Management,
PieSync,www.piesync.com,,Contact Management,
Pingboard,www.pingboard.com,,Contact Management,
Pobuca,www.pobu.ca,,Contact Management,
PolarisCMS (OnlyBusiness.com),www.polariscms.com,,Contact Management,
PToffice,www.ptoffice.com,,Contact Management,
Rapportive,www.rapportive.com,,Contact Management,
Reynolds and Reynolds,www.reyrey.com,,Contact Management,
RightHello,www.righthello.com,,Contact Management,
Sage ACT!,www.ACT.com,,Contact Management,
Satori Software,www.satorisoftware.com,,Contact Management,
Scrubly,www.scrubly.com,,Contact Management,
StarPound,www.starpound.net,,Contact Management,
Strap,www.straphq.com,,Contact Management,
StrikeIron,strikeiron.com,,Contact Management,
Zoho ContactManager,www.zoho.com/contactman..,,Contact Management,
Concord,www.concordnow.com/,"E-Signature; legally binding
Collaboration; discuss contracts online
Contract management; deadline alerts,etc",Contract Management,"Concord - Free & unlimited e-signature, collaboration, and contract management. Concord provides unlimited e-signatures and unlimited contracts filing for any number of users. Concords simple-to-use interface includes collaboration tools to streamline contract creation, negotiation, signing, and management. It also has deadline alerts, revision tracking, and more.  Keep all of your contracts organized, safe, and private on Concord. Other Key Functionalities:Drafting: Templates and automated templates, online document editing with track changes, and attachmentsApproval and Negotiation: Online document editing, automated version control, and discussion with colleagues and third-partiesSignature: Unlimited legally binding e-signaturesExecution: Summary sheet, audit trail, and deadline alertsOptimize: Clause comparison between contracts, data export"
MaxCDN,www.maxcdn.com,,Content Delivery Network,
CDNify,www.cdnify.com,,Content Delivery Network,
KeyCDN,www.keycdn.com,,Content Delivery Network,
SpaceCDN,www.spacecdn.com,,Content Delivery Network,
CDNlion,www.cdnlion.com,,Content Delivery Network,
CDNetworks,www.CDNetworks.com,,Content Delivery Network,
CDNsun,www.cdnsun.com,,Content Delivery Network,
MetaCDN,www.metacdn.com,"Content Delivery Network
Live Streaming
Video on Demand
Content Delivery Network
Video Encoding
Super Low Latency",Content Delivery Network,
CacheFly,www.cachefly.com,"Highest Global Throughput Delivery 
Infinite Scalability
Global POP Distribution: 40+
Pay-As-You-Go Pricing
24/7/365 Domestic Support
Security/Origin Shielding
Real-Time Reporting
Instant Purging: 300ms
100% Availability SLA
Easy Integration & Instant Activation",Content Delivery Network,"Launched in 2002, CacheFly developed the worlds first TCP-anycast based Content Delivery Networkthe only network built for throughput. From the first byte to the last byte, CacheFly delivers your files faster. Learn why many of the world's most trusted brands trust CacheFly to deliver their content. Visit us at www.cachefly.com."
Distil Networks,www.distilnetworks.com,,Content Delivery Network,
EdgeCast,www.edgecast.com,,Content Delivery Network,
Fastly,www.fastly.com,,Content Delivery Network,
Highwinds,www.highwinds.com,"CDN
SSL Delivery
Instant Purge
HTTP and HTTPS Caching
CDN",Content Delivery Network,"Highwinds is a content delivery, network, and cloud-based IP services business that offers a comprehensive suite of solutions, including content delivery, storage, security, privacy, and IP software. The company delivers content over its high-performance RollingThundernetwork to millions of global users every day. Highwinds CDN customers gain unprecedented command and control with its StrikeTrackerconsole and open APIs. Highwinds is headquartered in Winter Park, Fla., and maintains data centers around the world. "
Instart Logic,instartlogic.com,,Content Delivery Network,
Nuevo Cloud,www.nuevocloud.com,,Content Delivery Network,
TwinPrime,www.twinprime.com,,Content Delivery Network,
Zenedge,www.zenedge.com,,Content Delivery Network,
dropigee inc.,www.dropigee.com,,Content Delivery Network,
inboundli,inbound.li/,"Custom content sourcing
Social publishing
Curated blogging
Sales enablement
Competitor monitoring
Content repository",Content Delivery Network," inboundli is a content curation, publishing and research platform for marketing teams. By merging social signals and machine learning, inboundli provides the most effective workflow to source and publish targeted content to reach decision makers in your industry with coherent brand narrative and context. With inboundli you grow reach, engagement, target audience and qualified traffic while saving you 90% of the time and budget associated with content and social media marketing."
21centuryweb,www.21centuryweb.com,,Content Management,
Feed Us,www.Feed.Us,,Content Management,
CMS2CMS,www.cms2cms.com,,Content Management,
PageLime,www.pagelime.com,,Content Management,
Built.io,www.built.io,,Content Management,
Americaneagle.com,www.americaneagle.com,,Content Management,
CSG International,www.csgi.com,,Content Management,
dakwak,www.dakwak.com,,Content Management,
Ingeniux,www.ingeniux.com,,Content Management,
Just Add Content,www.justaddcontent.com,,Content Management,
PaperThin,www.paperthin.com,,Content Management,
PhraseApp,www.phraseapp.com,,Content Management,
Pocket,www.getpocket.com,,Content Management,
SepCity,www.sepcity.com,,Content Management,
Spundge,www.spundge.com,,Content Management,
Surreal CMS,www.SurrealCMS.com,,Content Management,
4.ST,www.4st.com,,Content Management,
Accrisoft,www.accrisoft.com,,Content Management,
Admin eSolutions,www.adminesolutions.com,,Content Management,
Allbound,www.allbound.com/,"gamification
learning management
deal registration
multi-channel/partner management
CRM integration
partner portal
campaign analysis
content management/filtering
lead distribution
sales playbooks",Content Management,"Allbound is rep-friendly channel sales and marketing software that efficiently connects users to your brand, drives loyalty to your business and creates action and insights that matter to the success of your enterprise. Our intuitive software platform centralizes access to all your sales and marketing content, campaigns, training and modern communications channels to reinforce and incentivize those channel sales rep behaviors which will change the trajectory of your pipeline."
Ascend Software,www.ascendsoftware.com,,Content Management,
Astoria Software,www.astoriasoftware.com,,Content Management,
Atex,www.atex.com,,Content Management,
atipso,www.atipso.com,,Content Management,
Atomic Reach,www.atomicreach.com,,Content Management,
Attensa,www.attensa.com,,Content Management,
Azapi Internet Services,www.azapi.com,,Content Management,
Bizzuka,www.bizzuka.com,,Content Management,
blue-infinity,www.b-i.com/,,Content Management,
Bluenog,www.Bluenog.com,,Content Management,
Brainware,www.brainware.com/,,Content Management,
Bridgeline Digital,www.BridgelineDigital.com,,Content Management,
Campus Suite,www.campussuite.com,,Content Management,
CareTech Solutions,www.caretech.com,,Content Management,
caSaaS web CMS,www.casaas.com,,Content Management,
ClearVoice,www.clearvoice.com,,Content Management,
Cloud Cannon,www.cloudcannon.com,,Content Management,
Cloud CMS,www.cloudcms.com,,Content Management,
Concrete5,www.concrete5.org,,Content Management,
Contentful,www.contentful.com,,Content Management,
DNN,www.dnnsoftware.com,,Content Management,
DocClarity,www.docclarity.com,,Content Management,
dotCMS,www.dotcms.com,,Content Management,
Double Spring Media,www.doublespring.com,,Content Management,
Elcom,www.elcomcms.com,,Content Management,"Elcom Technology (Elcom) is a global provider of enterprise web content management solutions. Using elcomCMS makes it easy for you and your audiences to connect, communicate and collaborate, to effectively and efficiently achieve key outcomes across all channels, on any device anywhere in the world. elcomCMS is built on .NET and is used by medium and large enterprise organizations when the timeline, risk, and costs are critical for websites, intranets, online learning, portals, social and mobile solutions.  Elcom is a Microsoft Gold Partner known for being highly responsive amongst their clients and serves over 1000 organizations and 1 million users world-wide including Hyundai, Kia, Volkswagen, Fairfax Media, Kaiser Permanente, Louisville Water Company, Workforce Guardian, The Fred Hollows Foundation, The Australian Trade Commission (Austrade) and The Fair Work Ombudsman, just to name a few. elcomCMS is the strategic choice of digital leaders delivering measurable value to internal and external stakeholders and bringing efficient management of information to all operational functions."
EllisLab,www.ellislab.com,,Content Management,
ennov,www.ennov.com,,Content Management,
Enterprise Drupal Gardens,drupal.org/,,Content Management,
FatStax,www.fatstax.com,,Content Management,
Firebrand Technologies,www.firebrandtech.com,,Content Management,
Fission Web System,www.fissionwebsystem.com,,Content Management,
Fluidinfo,www.fluidinfo.com,,Content Management,
Granite Horizon,www.granitehorizon.com,,Content Management,
Graphnet,www.graphnet.com,,Content Management,
GX Software,www.gxsoftware.com,,Content Management,
Hannon Hill,www.hannonhill.com,,Content Management,
Hippo,www.onehippo.com,,Content Management,
Hyland Software,www.hyland.com,,Content Management,
I.R.I.S. ECM,www.ecm.irislink.com,,Content Management,
iObjx,www.iobjx.com,,Content Management,
ISEBOX,www.isebox.com,,Content Management,
Jadu,www.jadu.net,,Content Management,
Jigsy,jigsy.com,,Content Management,
Joomla,www.joomla.org,,Content Management,
Junecode,www.junecode.com,,Content Management,
Kapost,www.kapost.com,,Content Management,
Kisll,www.kisll.biz,,Content Management,
Limelight Networks,www.limelight.com,,Content Management,
Luna Imaging,www.lunaimaging.com,,Content Management,
Mandarin Library Automation,www.mlasolutions.com,,Content Management,
Mixpo,www.mixpo.com,,Content Management,
MODX,www.modx.com,,Content Management,
Morweb CMS,www.morwebcms.com,,Content Management,
NQcontent,www.nqcontent.com,,Content Management,
OmniUpdate,www.omniupdate.com,,Content Management,
Orienge Conterra ECM,www.orienge.com,,Content Management,
Oxcyon,www.oxcyon.com,,Content Management,
Pegboard,www.pegboard.com.au,,Content Management,
Percussion,www.percussion.com,,Content Management,
Photobucket,www.photobucket.com,,Content Management,
Plone ,www.plone.org/,,Content Management,
